niche_id,niche,tool,domain,niche_landing_url,facebook_page,linkedin_url,pricing_url,starting_price,pricing_model,founded,headcount,headcount_source_url,funding_status,funding_source_url,review_count,review_source_url,trustmrr_url,notes
61,Security guard companies,Safetrac,safetrac.io,https://safetrac.io/best-security-guard-management-software/,unverified,unverified,https://safetrac.io/best-security-guard-management-software/,"$200/mo first 10 users, then $8/user (11-99); 30-day free trial",self-serve public price,"2024 (Torrance, CA)",unverified,https://tracxn.com/d/companies/safetrac/__BeQTv1XcjoUmnvBP7jotNF3pb7csNkIFovsLKBxJbtU,unverified,unverified,unverified,unverified,unverified (host blocked),"New entrant; pricing stated in its own comparison page. Headcount not shown, so no bonus despite 2024 founding."
61,Security guard companies,THERMS,therms.io,https://www.therms.io/best-security-guard-reporting-software/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Guard reporting software; named via its own roundup page. Pricing not in results.
69,Light-industrial staffing agencies,Avionté,avionte.com,https://ustechautomations.com/resources/blog/automate-avionte-vs-tempworks-for-staffing-agencies-2026,unverified,https://www.linkedin.com/company/avionte-staffing-software,unverified,unverified (does not publish rates; quotes individually per https://www.pin.com/blog/staffing-agency-software/),contact-sales,"2005 (Bloomington, MN)",307,https://pitchbook.com/profiles/company/64803-52,PE: Serent Capital growth investment; buyout/LBO with AkkenCloud 22 Aug 2024,https://www.avionte.com/news/avionte-staffing-software-joins-forces-serent-capital/,unverified,unverified,unverified (host blocked),Built for high-volume light-industrial/clerical staffing with native payroll & billing. Revenue $40.8M per https://www.konaequity.com/company/aviont%C3%A9-staffing-software-inc-4040020515/
69,Light-industrial staffing agencies,TempWorks,unverified,https://www.guideflow.com/blog/staffing-software,unverified,https://www.linkedin.com/company/tempworks-software,unverified,$49/user/mo published (third-party reports $80-$130/user/mo plus implementation) per https://firsthr.app/compare/hiring/staffing-agency-software,self-serve public price,"1997 (Eagan, MN)",105,https://pitchbook.com/profiles/company/88880-77,private,https://pitchbook.com/profiles/company/88880-77,unverified,unverified,unverified (host blocked),Category default for light-industrial temp staffing (ATS+CRM+payroll+funding). Inc. 5000 multiple years.
69,Light-industrial staffing agencies,Bullhorn (Light Industrial),bullhorn.com,https://www.bullhorn.com/light-industrial/,unverified,unverified,unverified,"$99/user/mo Starter, $165 Core (third-party; Bullhorn publishes no rates) per https://www.pin.com/blog/staffing-agency-software/",contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Horizontal staffing platform with dedicated light-industrial landing page. Third-party price only.
69,Light-industrial staffing agencies,Ceipal,unverified,https://www.noon.ai/blog/articles/247-recruiting-agency-software,unverified,unverified,unverified,$24/user/mo (5-seat minimum on annual contract; 14-day trial),self-serve public price,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"Staffing-vertical ATS, not light-industrial-specific. Domain not shown in results."
69,Light-industrial staffing agencies,Crelate,unverified,https://www.noon.ai/blog/articles/247-recruiting-agency-software,unverified,unverified,unverified,$85/user/mo Essentials; $119 Business,self-serve public price,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Staffing/recruiting-vertical; more perm/boutique than light-industrial. Domain not shown in results.
77,Independent insurance agencies,HawkSoft,hawksoft.com,https://www.hawksoft.com/,https://www.facebook.com/hawksoft/,unverified,unverified,$250/mo start (third-party) per https://www.selecthub.com/insurance-agency-management-systems/hawksoft-vs-nowcerts/,contact-sales,"1995 (Canby, OR)",>150,https://www.hawksoft.com/about/story/,family-founded; revenue $19.9M per https://leadiq.com/c/hawksoft/5a1d9b552300005e008ab546,https://www.hawksoft.com/about/story/,unverified,unverified,unverified (host blocked),"AMS for independent P&C agencies under ~10 producers; annual cost $3,000-$8,000 per https://www.quotesweep.com/blog/ams-comparison-2026 . Vendor site does not publish pricing."
77,Independent insurance agencies,Momentum AMP (formerly NowCerts),momentumamp.com,https://momentumamp.com/,unverified,unverified,https://www.g2.com/products/momentum-amp-formerly-nowcerts/pricing,$99/mo start per selecthub; G2 lists one edition from $169,unverified,2009,unverified,unverified,merged with Insurance Gig 2023; acquired TrustedChoice.com; rebranded Momentum Nov 2024,https://www.nowcerts.com/about,unverified,unverified,unverified (host blocked),"Low-cost AMS for startup agencies; annual $600-$2,400 per quotesweep. Pricing model unverified (conflicting third-party figures)."
77,Independent insurance agencies,EZLynx (Applied Systems),ezlynx.com,https://www.ezlynx.com/,https://www.facebook.com/EZLynx/,https://www.linkedin.com/company/ezlynx,unverified,$350/mo start (third-party) per https://www.quotesweep.com/blog/ams-comparison-2026,contact-sales,"2003 (Lewisville, TX)",unverified,unverified,acquired by Applied Systems (Jan 2021),https://www.insurancejournal.com/news/national/2021/01/14/597515.htm,unverified,unverified,unverified (host blocked),"Comparative rater + AMS; 20,000+ agents."
77,Independent insurance agencies,AgencyZoom (Vertafore),unverified,https://www.sonant.ai/blog/agencyzoom-alternative-review,unverified,https://www.linkedin.com/company/agencyzoom,unverified,"$149-$349/mo (7 seats included), published",self-serve public price,2016,unverified,unverified,acquired by Vertafore 18 Nov 2021,https://www.vertafore.com/resources/press-releases/vertafore-acquires-agencyzoom,unverified,unverified,unverified (host blocked),Insurance-specific sales CRM. Domain not shown in results.
77,Independent insurance agencies,GloveBox (Better Agency),glovebox.io,https://glovebox.io/blog/best-insurance-agency-management-systems/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),'Done-for-you' CRM for independent agents per https://www.salesmate.io/blog/crm-for-insurance/ ; pricing not in results.
77,Independent insurance agencies,HubSpot CRM for Insurance,hubspot.com,https://www.hubspot.com/products/crm/insurance,unverified,unverified,unverified,free CRM tier (amount of paid tiers not in results),unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Horizontal CRM with a dedicated insurance landing page.
77,Independent insurance agencies,Applied Epic,appliedsystems.com,https://www.quotesweep.com/blog/ams-comparison-2026,unverified,unverified,unverified,unverified,contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Enterprise AMS named in the six-AMS comparison; generally does not publish pricing.
84,Mobile auto detailing,Urable,urable.com,https://urable.com/vehicle-care/,unverified,https://www.linkedin.com/company/urable-int-organization,unverified,$45/mo (unlimited users); Pro $83/mo per https://www.rebiza.com/resources/compare/urable-vs-orbisx,self-serve public price,unverified,unverified,unverified,family-owned,https://urable.com/about-us/,unverified,unverified,unverified (host blocked),Detailing/PPF/tint/ceramic booking + CRM. 'Family-owned' is not evidence of <50 staff or explicit bootstrapping; no bonus.
84,Mobile auto detailing,OrbisX,orbisx.com,https://orbisx.com/,unverified,unverified,unverified,"~$100/mo flat, all-inclusive per https://roxohub.com/blog/best-crm-auto-detailing-business-2026/",self-serve public price,2012 (Ottawa),7 (Jun 2024),https://tracxn.com/d/companies/orbisx/__33gOauGN9noLUr8zKVsuRURkhMP0mhEW0dDMHtY9N6I,unfunded,https://tracxn.com/d/companies/orbisx/__33gOauGN9noLUr8zKVsuRURkhMP0mhEW0dDMHtY9N6I,unverified,unverified,unverified (host blocked),"CRM for detailers/tinters; GPS fleet tracking, AI follow-ups."
84,Mobile auto detailing,ROXO Hub,roxohub.com,https://roxohub.com/blog/best-software-mobile-auto-detailers-2026/,unverified,unverified,unverified,$39.99/mo flat,self-serve public price,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"Booking/tap-to-pay/no-show deposits for mobile detailers; app developer Roali Biten per https://apps.apple.com/us/app/roxo-hub/id6756480488 . Multi-vertical (also PMU, trainers)."
84,Mobile auto detailing,Anolla,anolla.com,https://anolla.com/en/auto-detailing-software,unverified,unverified,https://www.capterra.com/p/10031414/anolla/,EUR 11.99/user/mo (Plus); free version and free trial,self-serve public price,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"Usage-based, season-aware pricing for car washes, detailing studios, mobile detailers."
84,Mobile auto detailing,QuoteIQ (mobile detailing),myquoteiq.com,https://myquoteiq.com/best-online-booking-software-mobile-detailing-2026/,unverified,unverified,https://myquoteiq.com/pricing/,$29.99/mo Essentials; InstaSchedule bundle on Elite $299/mo,self-serve public price,2023,unverified,unverified,self-funded,https://myquoteiq.com/about-us/,unverified,unverified,unverified (host blocked),Same vendor as niche 28 row; detailing-specific marketing pages.
84,Mobile auto detailing,AutoHustl,autohustl.com,https://autohustl.com/vs/orbisx/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Detailing software; named via its own comparison page. Pricing not in results.
92,Freight brokers,Tai TMS,tai-software.com,https://tai-software.com/pricing/,https://www.facebook.com/TaiSoftware/,https://www.linkedin.com/company/tai-software,https://tai-software.com/pricing/,"$945/mo flat (Growth); Premium $2,345; Premium+ $4,350; Pro $7,545 per https://arktms.com/blog/best-tms-platforms-freight-brokers-2026",self-serve public price,"2005 (Huntington Beach, CA)","60 (2023, $15.9M revenue) per https://getlatka.com/companies/tai-software.com ; 82 per https://craft.co/tai-software",https://getlatka.com/companies/tai-software.com,~$20M raised; Accel-KKR investment 2020,https://www.accel-kkr.com/portfolio-company/tai-software/,unverified,unverified,unverified (host blocked),Broker-focused TMS with published flat-rate tiers.
92,Freight brokers,AscendTMS (InMotion Global),thefreetms.com,https://www.thefreetms.com/pricing,unverified,unverified,https://www.thefreetms.com/pricing,Free Basic (2 users); paid tiers $69/$119/$149 per user/mo per https://softwareconnect.com/reviews/ascendtms/,self-serve public price,"2002 (Brandon, FL; Tim Higham)",10-50 (estimate),https://www.selecthub.com/p/tms-software/ascendtms/,unverified,unverified,unverified,unverified,unverified (host blocked),"On-ramp TMS for new/small brokers. '10-50' range does not prove <50, so no bonus."
92,Freight brokers,ARK TMS,arktms.com,https://arktms.com/freight-broker-software,unverified,unverified,https://arktms.com/freight-broker-software,"$199/user/mo, $0 setup",self-serve public price,"2023 (Tampa, FL)",unverified,https://arktms.com/about,unverified,unverified,unverified,unverified,unverified (host blocked),Built for small/mid brokerages; headcount not shown.
92,Freight brokers,BrokerPro TMS,brokerpro.com,https://www.brokerpro.com/pricing/,unverified,unverified,https://www.brokerpro.com/pricing/,"$950/mo for up to 150 loads/mo, unlimited users",self-serve public price,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"Load-volume pricing. A different 'Broker PRO' (Infinity Software, Decatur GA, 2000) appears on SelectHub; founding of brokerpro.com not verified."
92,Freight brokers,Revenova TMS,revenova.com,https://revenova.com/tms-for-freight-brokers/,unverified,unverified,unverified,"$2,500/company/mo start (third-party) per https://arktms.com/blog/best-tms-platforms-freight-brokers-2026",contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Salesforce-native TMS; does not publish prices.
92,Freight brokers,Turvo,unverified,https://arktms.com/blog/best-tms-platforms-freight-brokers-2026,unverified,unverified,unverified,~$5K/mo (third-party),contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Named in ARK TMS roundup; domain not shown.
92,Freight brokers,Aljex,aljex.com,https://www.aljex.com/news/best-freight-broker-tms-software-2026/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Broker TMS named via its own roundup page; pricing not in results.
100,Small 3PL warehouses,Extensiv 3PL Warehouse Manager,extensiv.com,https://www.extensiv.com/,unverified,unverified,unverified,$599/mo start plus per-client and module fees (third-party) per https://softwareconnect.com/reviews/extensiv-3pl-warehouse-manager/,contact-sales,2006 (as 3PL Central; John Watkins & Nancy Rohman),unverified,unverified,Mainsail Partners growth equity $17.5M (2015) and $45M syndicate,https://www.extensiv.com/newsroom/mainsail-partners-leads-fresh-45m-capital-raise-for-3pl-central,unverified,unverified,unverified (host blocked),"Deepest 3PL WMS (multi-client billing, portals). Founding cite https://www.extensiv.com/newsroom/3pl-central-receives-17.5-million-in-growth-equity-from-mainsail-partners ; current headcount not found."
100,Small 3PL warehouses,ShipHero,unverified,https://softwareconnect.com/roundups/best-3pl-third-party-logistics-software/,unverified,unverified,unverified,"$1,995/mo (3PL plan) plus $2,000 onboarding (third-party)",contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Named in roundup and in Extensiv integration page https://www.extensiv.com/ecosystem/integrations/combo/extensiv-3pl-warehouse-manager-with-shiphero ; domain not shown.
100,Small 3PL warehouses,Logiwa,logiwa.com,https://softwareconnect.com/roundups/best-3pl-third-party-logistics-software/,unverified,unverified,unverified,DTC plan ~$300/mo; 3PL Accelerator plan custom quote (third-party),contact-sales,2017 (Chicago; Erhan Musaoglu),123,https://rocketreach.co/logiwa-wms-profile_b5cb0025f42e1469,$39M raised; Series B $16.4M led by NewRoad Capital (2022),https://www.logiwa.com/press-release/logiwa-raises-16-4m-in-series-b-funding-as-company-aims-to-modernize-the-wms-market,unverified,unverified,unverified (host blocked),Cloud WMS for DTC and 3PL.
100,Small 3PL warehouses,Packiyo,packiyo.com,https://www.fulfill.com/best-wms-for-3pls,unverified,unverified,unverified,"$699/mo '3PL Startup' plan, 3 users (third-party)",self-serve public price,2021 (NYC; founder Tommy Bjorbaek),26 (Apr 30 2026),https://tracxn.com/d/companies/packiyo/__OYcTVq8H3ggyvflibz1KFiU70WxcdNRb9_HY2WlzYuo,no funding rounds,https://tracxn.com/d/companies/packiyo/__OYcTVq8H3ggyvflibz1KFiU70WxcdNRb9_HY2WlzYuo,unverified,unverified,unverified (host blocked),Positioned for sub-$5M 3PL operators; 3PL billing and client portals.
100,Small 3PL warehouses,Packem WMS,packemwms.com,https://packemwms.com/best-wms-small-3pl-buyers-guide/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Small-3PL WMS named via its own buyer's guide; pricing not in results.
100,Small 3PL warehouses,Deposco,deposco.com,https://deposco.com/blog/best-3pl-warehouse-management-systems-of-2026/,unverified,unverified,unverified,unverified,contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Mid/enterprise WMS named via its own roundup; pricing not in results.
107,Laundromats,Cents,trycents.com,https://www.trycents.com/,unverified,unverified,unverified,$89-$599/mo tiers (processing rate not published) per https://www.washdryfoldpos.com/best-laundromat-pos-systems-in-2026-compared/,self-serve public price,2021,96 (May 31 2026),https://tracxn.com/d/companies/cents/__yxiP-gXq_ChEvBZ3hQsO6IhqoifY12AlSySLcq-6as0,$184M total over 4 rounds; Series C $140M (Sumeru Equity Partners),https://www.trycents.com/news/series-c-140-million-sumeru-equity,unverified,unverified,unverified (host blocked),"All-in-one POS, machine payments, delivery routing, AI receptionist; 2,700+ retail laundries (~1 in 14 US laundromats)."
107,Laundromats,Curbside Laundries,curbsidelaundries.com,https://www.curbsidelaundries.com/,unverified,https://www.linkedin.com/in/mrsimmons/ (founder),unverified,quote-based; commonly reported ~$260/mo (third-party) per https://www.washdryfoldpos.com/best-laundromat-pos-systems-in-2026-compared/,contact-sales,"launched June 2017 at the Clean Show (Long Beach, CA; Aaron & Matt Simmons)",11-50,https://www.zoominfo.com/c/curbside-laundries-llc/403187587,unverified,unverified,unverified,unverified,unverified (host blocked),Wash-and-fold + pickup/delivery routing built by laundromat operators https://lbbusinessjournal.com/business/news/entrepreneurial-innovation-long-beach-brothers-shaping-the-future-of-laundromats/ ; '11-50' does not prove <50.
107,Laundromats,CleanCloud,cleancloudapp.com,https://cleancloudapp.com/laundromats,unverified,unverified,unverified,$99-$335/mo; 14-day free trial per https://www.washdryfoldpos.com/best-laundromat-pos-systems-in-2026-compared/,self-serve public price,2014 (London; John Buni & David Griffith-Jones),37,https://pitchbook.com/profiles/company/228558-61,"$297K raised (one round, 2019)",https://tracxn.com/d/companies/cleancloud/__58xETg9ZD9h5VbVy3qdR-fdSZLb1QZBCx36Ox3gWqn8,unverified,unverified,unverified (host blocked),"POS + pickup/delivery for dry cleaners and laundromats; UK-based, US landing page."
107,Laundromats,Wash-Dry-Fold POS,washdryfoldpos.com,https://www.washdryfoldpos.com/,unverified,unverified,unverified,"~$85/mo, all features, no annual contract per https://www.guideflow.com/blog/laundromat-software",self-serve public price,"operating since 2016 (founder Brian Henderson, laundromat operator)",unverified,https://www.washdryfoldpos.com/,unverified,unverified,unverified,unverified,unverified (host blocked),"1,300+ POS systems, 4M+ transactions/yr (vendor claim). Headcount and funding not found."
107,Laundromats,LaundryMatch / LaunderPay,getlaundrymatch.com,https://www.getlaundrymatch.com/post/best-laundromat-pos-software,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Named via its own POS roundup; pricing not in results.
107,Laundromats,The Laundry Boss,thelaundryboss.com,https://thelaundryboss.com/laundromat-industry-data-statistics/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Laundromat management/payments vendor named via its own industry-data page; pricing not in results.
114,Gun shops / FFL dealers (compliance & bound book),FastBound,fastbound.com,https://www.fastbound.com/,unverified,unverified,https://www.capterra.com/p/195829/FastBound/,"plans start $9/mo, no contracts per https://www.coriolisagency.com/fastbound-vs-orchid-ebound-a-comprehensive-comparison-of-ffl-software-solutions/",self-serve public price,"2010 (near Sacramento, CA)",unverified,https://www.fastbound.com/ffl-blog/fastbound-launches-updated-software/,unverified,unverified,unverified,unverified,unverified (host blocked),Electronic A&D bound book + 4473; 'over a billion transactions' per https://aim-pos.com/best-electronic-bound-book-software/ . Headcount not found.
114,Gun shops / FFL dealers (compliance & bound book),Orchid eBound (Orchid LLC),orchidadvisors.com,https://orchidadvisors.com/ffl-bound-book-and-4473-software/,unverified,https://www.linkedin.com/company/orchidllc,https://orchidadvisors.com/ffl-bound-book-and-4473-software-pricing/,"Free (100 acquisitions/yr); Essentials $25/mo (1,000); Performance $35/mo (2,500)",self-serve public price,2009 (CEO Jon Rydberg since 2012) https://orchidadvisors.com/orchid-leadership-team/,12,https://rocketreach.co/orchid-advisors-1-in-ffl-compliance-profile_b5c20062f42e0ebc,unverified,unverified,unverified,unverified,unverified (host blocked),"Bound book + in-house e4473 storage, backed by FFL Law compliance guarantee; 10,000+ users."
114,Gun shops / FFL dealers (compliance & bound book),Bravo Store Systems,bravostoresystems.com,https://www.bravostoresystems.com/point-of-sale-for-gun-stores,unverified,unverified,https://www.bravostoresystems.com/point-of-sale-for-gun-stores,$99/mo start; typical $99-$350/mo with add-ons,self-serve public price,2011 (pawn-software roots to 1980s),unverified,https://grokipedia.com/page/Bravo_Store_Systems,unverified,unverified,unverified,unverified,unverified (host blocked),"POS for gun stores/pawn/jewelers with native 4473 and bound book; 3,300+ stores."
114,Gun shops / FFL dealers (compliance & bound book),Gearfire AXIS,gogearfire.com,https://gogearfire.com/solutions/gun-store-pos/,unverified,unverified,unverified,"$850-$1,150/mo (third-party) per https://managememberships.com/blog/gearfire-axis-alternatives ; SaaS billing option added Jan 2026",contact-sales,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"2,000+ FFL retailers, 70% of NSSF 5-Star ranges https://gogearfire.com/about-gearfire/ ; SaaS pricing PR https://www.theoutdoorwire.com/releases/2026/01/gearfire-introduces-flexible-saas-pricing-option-for-industry-leading-retail-management-system/"
114,Gun shops / FFL dealers (compliance & bound book),Coreware (coreSTORE / coreFFL),unverified,https://www.bravostoresystems.com/bravo-vs-coreware,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),Configurable FFL POS/eCommerce suite named in Bravo comparison and AIM POS roundup; domain not shown.
114,Gun shops / FFL dealers (compliance & bound book),Rapid Gun Systems,rapidgunsystems.com,https://rapidgunsystems.com/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,Crunchbase profile exists https://www.crunchbase.com/organization/rapid-gun-systems,unverified,unverified,unverified,unverified (host blocked),ATF-compliant POS for gun stores/ranges; pricing not in results.
114,Gun shops / FFL dealers (compliance & bound book),AIM POS,aim-pos.com,https://aim-pos.com/best-gun-store-pos-software/,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),"Gun-store POS with bound book, named via its own roundup; pricing not in results."
114,Gun shops / FFL dealers (compliance & bound book),BoundPro,boundpro.app,https://www.boundpro.app/comparison,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified,unverified (host blocked),FastBound alternative named via its own comparison page; pricing not in results.
121,Funeral homes,Passare,passare.com,https://www.passare.com/,unverified,unverified,unverified,"unverified (no public price; one review cites ~$10,000 implementation) https://www.capterra.com/p/164764/Passare/reviews/",contact-sales,"2012 (Abilene, TX)",63,https://tracxn.com/d/companies/passare/__MI8Gg8LRDqObPuHvVQG6yhCVumte00al-18CWiCT4xo,$6M from Funeral Directors Life; listed as acquired,https://tracxn.com/d/companies/passare/__MI8Gg8LRDqObPuHvVQG6yhCVumte00al-18CWiCT4xo,unverified,unverified,unverified (host blocked),Case management + family collaboration portal; built with FDLIC https://www.upandrunningsoftware.com/portfolio-passare.php
121,Funeral homes,Osiris Software,osirissoftware.com,https://osirissoftware.com/,unverified,https://www.linkedin.com/company/osiris-software,https://osirissoftware.com/pricing/,"from $79/mo (by at-need call volume; unlimited users) per https://osirissoftware.com/faq-items/how-much-does-osiris-cost/ ; Capterra lists Basic $100/mo, 30-day trial",self-serve public price,"2009 (Edmond, OK; Kris Gray & Kara Gray Ludlum; parent Funeral Directors Resource 1998)",12,https://www.zoominfo.com/c/osiris-software/356518964,unverified,unverified,unverified,unverified,unverified (host blocked),Built by funeral directors; about page https://osirissoftware.com/about/
