id,niche,naics,sector,why_boring,boring_score,us_establishments,estab_year,estab_source_url,share_under_20_employees,share_source_url,n_tools_search_verified,n_tools_candidate_unverified,n_tools_public_price_url,fragmentation_score,max_headcount_bonus,provisional_evidence_score,ad_longevity_score,research_status,notes
11,Asphalt paving & sealcoating contractors,238990,23,"Seasonal quoting, weather scheduling, municipal bid paperwork",3,"138,636 (IBISWorld Paving Contractors, businesses); 37,952 (NAICS 238990 establishments, Census 2020)",2026 / 2020,https://www.ibisworld.com/industry-statistics/number-of-businesses/paving-contractors-united-states/ ; https://naicslist.com/naics/238990,unverified,unverified,8,0,2,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld: paving contractors grew ~2.0%/yr 2020-25; industry 'highly fragmented, no company >5% share' (https://www.ibisworld.com/united-states/industry/paving-contractors/2020/). NAICS 238990 is a catch-all; 37,952 figure attributed to naicslist.com result in the 238990 result set. Another result (siccode) cited 46,275 active companies for 238990."
12,Fire sprinkler contractors,238220,23,"NFPA 25 inspection reports, AHJ submittals, backflow/hydrostatic tests",3,"19,845 (IBISWorld Fire Protection & Security System Installation Contractors)",2025,https://www.ibisworld.com/united-states/number-of-businesses/security-system-services/1491/ (result set) ; https://www.ibisworld.com/united-states/industry/fire-protection-and-security-system-installation-contractors/6486/,unverified,unverified,5,0,1,3,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld: market size $22.1bn (2025), 100,586 employed (2025), 'highly fragmented, no company >5%'. Broad NAICS 238220 (plumbing/HVAC incl. sprinkler) count of 88,738 companies appeared in result set (https://www.item.com/naics/238220 or https://www.insurancexdate.com/naics/238220; attribution between the two not confirmed). Sprinkler-only establishment count: unverified."
13,"Low-voltage, alarm & security camera installers",238210,23,"Permits, monitoring contracts, recurring inspection paperwork",3,"87,086 (IBISWorld Security System Services businesses); 55,951 (NAICS 238210 companies verified active, siccode)",2026 / n.d.,https://www.ibisworld.com/united-states/number-of-businesses/security-system-services/1491/ ; https://siccode.com/naics-code/238210/electrical-contractors-wiring-installation-contractors,unverified,unverified,6,1,1,3,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Security System Services: $41.2bn (2026), CAGR 4.4% 2021-26, 'low market share concentration', largest is ADT (https://www.ibisworld.com/united-states/industry/security-system-services/1491/). NAICS 238210 includes all electrical contractors, so it overstates low-voltage-only shops."
14,Pool builders,238990,23,"Permit sets, subcontractor sequencing, change orders",3,"22,731 (IBISWorld Swimming Pool Construction businesses)",2026,https://www.ibisworld.com/industry-statistics/number-of-businesses/swimming-pool-construction-united-states/,unverified,unverified,6,0,0,2,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),IBISWorld: +2.9% vs 2025; +4.2%/yr avg 2021-26. Concentration data not retrieved.
15,Foundation repair & basement waterproofing contractors,238190,23,"Engineer letters, lifetime-warranty transfers, financing paperwork",3,"6,106 establishments (NAICS 238190, Census 2020); 48,569 employees (2020)",2020,https://naicslist.com/naics/238190,unverified,unverified,3,0,0,3,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"238190 is 'Other Foundation, Structure and Building Exterior Contractors' and includes non-repair work; foundation-repair-specific count unverified."
16,Flooring & tile contractors,238330,23,"Square-foot quotes, material takeoffs, install scheduling",3,"13,108 companies verified active (siccode); 77,869 employees",n.d.,https://siccode.com/naics-code/238330/flooring-contractors,unverified,unverified,9,0,0,2,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),Census/IBISWorld establishment count not retrieved before search budget ran out. Tile contractors are NAICS 238340 (not searched).
17,Glass & glazing contractors,238150,23,"Measure, order, install cycles; commercial storefront bids",3,"1,317 companies verified active (siccode); 60,592 employees",n.d.,https://siccode.com/naics-code/238150/glass-glazing-contractors,unverified,unverified,4,1,0,1,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),siccode 'verified active' count looks low relative to its employee figure; treat as weak. IBISWorld page https://www.ibisworld.com/classifications/naics/238150/glass-and-glazing-contractors/ appeared in results but count not shown in snippet.
18,Deck & patio builders,236118,23,"Permit drawings, material takeoffs, seasonal backlog",3,unverified (search budget exhausted before this check),unverified,unverified,unverified,unverified,5,0,0,4,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),Search budget exhausted before establishment-count query for 236118 / deck & patio construction.
19,Hardscape & retaining wall contractors,238140,23,"Design/quote, material tonnage, weather scheduling",3,unverified (search budget exhausted before this check),unverified,unverified,unverified,unverified,5,0,0,2,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),Search budget exhausted before establishment-count query for 238140 masonry contractors.
20,Window treatment (blinds & shades) installers,238390,23,"In-home measure, vendor orders, install appointments",3,unverified (search budget exhausted before this check),unverified,unverified,unverified,unverified,6,0,0,1,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),Search budget exhausted before establishment-count query for 238390.
21,Irrigation & lawn sprinkler contractors,238220,23,"Spring start-up/winterization routes, backflow tests, zone repairs",3,2425,2024,https://www.ibisworld.com/united-states/number-of-businesses/lawn-sprinkler-installation-contractors/6488/,unverified,unverified,9,1,5,5,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld 'Lawn Sprinkler Installation Contractors' count; +1.9% vs 2023, +1.5%/yr 2019-2024 (same URL). Broader IBISWorld 'Water Supply & Irrigation Systems' = 45,902 businesses 2026 (https://www.ibisworld.com/industry-statistics/number-of-businesses/water-supply-irrigation-systems-united-states/) but that includes utilities, not contractors."
22,Small residential electrical contractors,238210,23,"Permits/inspections, service calls, flat-rate pricing books",3,55951,unverified,https://siccode.com/naics-code/238210/electrical-contractors-wiring-installation-contractors,unverified,unverified,9,0,2,5,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"siccode.com: 55,951 companies verified active in NAICS 238210, est. employment 858,047 (year not shown). Alt: 'approximately 251,789 firms' in electrical contracting per https://northeasternadvisors.com/2026-u-s-electrical-contracting-industry-report/ (2026 report); 'vast majority of operators generating under $2 million in annual revenue' (same URL). IBISWorld Electricians page exists: https://www.ibisworld.com/united-states/number-of-businesses/electricians/189/ (count not in snippet)."
23,HVAC contractors,238220,23,"Maintenance agreements, dispatch, EPA/permit paperwork",2,120461,2026,https://www.ibisworld.com/united-states/number-of-businesses/heating-air-conditioning-contractors/1945/,unverified,unverified,7,1,1,4,0,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld: 120,461 HVAC contractor businesses 2026 (+1.7% vs 2025); 118,433 in 2025. 'about 70% of the firms are independents with fewer than 10 employees' per https://www.withorbital.com/data/hvac-industry-statistics/ (not a <20-employee share). NAICS 238220 as a whole: 88,738 companies, employment 1,028,117 per https://siccode.com/naics-code/238220/plumbing-heating-air-conditioning-contractors"
24,Plumbing contractors,238220,23,"Dispatch, permits, flat-rate quoting, water-heater warranties",2,129000,2026,https://www.simprogroup.com/blog/plumbing-industry-statistics-2026,unverified,unverified,5,3,2,5,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Simpro blog citing IBISWorld: 'approximately 129,000' plumbing businesses 2026; other IBISWorld-citing sources say ~132,000 (https://www.linxup.com/blog/plumbing-statistics). Revenue $191.4B 2026 (Simpro URL). NAICS 238220 shared with HVAC: 88,738 companies per siccode.com."
25,Handyman services,236118,23,"Small-job quoting, scheduling, parts runs",3,528883,2026,https://www.ibisworld.com/united-states/number-of-businesses/handyman-services/4069/,unverified,unverified,1,0,1,1,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld: 528,883 handyman businesses 2026 (+0.2% vs 2025; +1.1%/yr 2021-2026). Market size $365.4B 2026 per https://www.ibisworld.com/united-states/market-size/handyman-services/4069/ (derived avg ≈ $691K revenue/business — derived, not a reported figure)."
26,Cabinet & countertop fabricators/installers,337110,23,"Templating, shop scheduling, install dates, deposits",3,11914,unverified,https://siccode.com/naics-code/337110/wood-kitchen-cabinet-countertop-manufacturing,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"siccode.com: 11,914 companies verified active in NAICS 337110, est. employment 89,798 (year not shown). Installers coded elsewhere (238350) not counted. Search budget exhausted before tool research for this niche."
27,Epoxy & garage floor coating contractors,238330,23,"Square-foot quotes, cure-time scheduling, one-day installs",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),"No establishment count surfaced. Only market-report snippets: 'U.S. concrete floor coatings market is fragmented' (https://www.grandviewresearch.com/industry-analysis/us-concrete-floor-coatings-market) — that describes coating manufacturers, not contractors. Search budget exhausted before tool research."
28,Artificial turf & sports court installers,238990,23,"Site measure, material orders, crew scheduling",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No count surfaced; search returned only individual installer sites (e.g. https://sportsvenuecalculator.com/knowledge/artificial-turf-field/turf-field-companies/). Search budget exhausted before tool research.
29,Home inspectors,541350,54,"Report writing to state SOP, scheduling with agents, E&O paperwork",3,30732,2026,https://www.ibisworld.com/united-states/number-of-businesses/building-inspectors/1405,unverified,unverified,0,0,0,1,0,1,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld 'Building Inspectors' 30,732 businesses 2026 (+0.4% vs 2025). 'vast majority operating as solo or two-inspector firms that bill 250 to 600 inspections per year' per https://rapideyeinspections.com/research/home-inspection-industry-statistics/ . Search budget exhausted before tool research."
30,Elevator inspection & maintenance contractors,238290,23,"State-mandated inspection cycles, certificates, AHJ filings",3,32787,2026,https://www.ibisworld.com/industry-statistics/number-of-businesses/elevator-installation-service-united-states/,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld 'Elevator Installation & Service' 32,787 businesses 2026 (+2.0% vs 2025; +3.1%/yr 2021-2026). Search budget exhausted before tool research."
31,Tree service & arborists,561730,56,"Estimates, crane/crew scheduling, ISA/permit paperwork",3,175035,2025,https://www.ibisworld.com/united-states/number-of-businesses/tree-trimming-services/6064/,unverified,unverified,8,0,5,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Tree Trimming Services: 175,035 businesses (2025, +6.1%); same page showed 165,007 for 2024. Conflicting IBISWorld industry-page figure of 19,929 operators (https://www.ibisworld.com/united-states/industry/tree-trimming-services/6064/) likely reflects different methodology. IBISWorld describes low market share concentration; Asplundh largest."
32,Lawn care & landscape maintenance,561730,56,"Weekly routes, per-visit invoicing, seasonal contracts",3,692777,2025,https://www.ibisworld.com/united-states/number-of-businesses/landscaping-services/1497/,unverified,unverified,7,0,6,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Landscaping Services: 692,777 businesses (2025, +4.8%), 1,474,642 employees, $188.8B. naics.com shows 76,769 verified-active companies in NAICS 561730 (https://www.naics.com/what-is-naics-561730-full-description-and-statistics/). Lawnstarter cites 2023 Census: 117,969 employer companies + ~517,000 sole proprietors; typical firm 2-3 employees (https://www.lawnstarter.com/blog/statistics/lawn-care-landscaping-statistics-2026/)."
33,Lawn fertilization & weed control route businesses,561730,56,"Program scheduling, pesticide application records, state applicator licenses",3,117969,2023,https://www.lawnstarter.com/blog/statistics/lawn-care-landscaping-statistics-2026/,unverified,unverified,5,0,4,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"No niche-specific establishment count found; figure is NAICS 561730 employer companies (2023 Census as cited by Lawnstarter) plus ~517,000 sole-proprietor firms. Fert/weed-control route operators are a subset; subset count unverified."
34,Snow removal contractors,561790,56,"Storm dispatch, per-push/seasonal contracts, slip-and-fall logs",3,114244,2025,https://www.ibisworld.com/united-states/number-of-businesses/snowplowing-services/5400/,unverified,unverified,4,0,3,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Snowplowing Services: 114,244 businesses (2025, +2.8%); 111,177 in 2024; market $23.0B (2025). Snippet describes the industry as highly fragmented, local operators."
35,Pressure washing & exterior cleaning,561790,56,"Square-foot quoting, route scheduling, recurring commercial contracts",3,34186,2025,https://www.ibisworld.com/united-states/number-of-businesses/pressure-washing-services/6538/,unverified,unverified,9,0,4,5,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Pressure Washing Services: 34,186 enterprises (2025, +6.19%); 32,193 in 2024; 5.8%/yr growth 2019-2024."
36,Window cleaning,561720,56,"Pane-count quotes, recurring routes, commercial invoicing",3,35344,2024,https://www.ibisworld.com/united-states/number-of-businesses/window-washing/6458/,unverified,unverified,4,0,3,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Window Washing: 35,344 enterprises (2024, -2.56%); CAGR -4.9% 2019-2024. Snippet: highly fragmented, no company >5% share."
37,Pool service & maintenance routes,561790,56,"Weekly route stops, chemical logs, repair upsells",3,78817,2025,https://www.ibisworld.com/united-states/number-of-businesses/swimming-pool-cleaning-services/4832/,unverified,unverified,5,1,3,3,2,7,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Swimming Pool Cleaning Services: 78,817 businesses (2025, +4.4%); 2.9%/yr growth 2020-2025. Poolfounder notes true count of pool servicers likely 2-3x (sole props, handymen, landscapers) (https://www.poolfounder.com/pool-service-industry-statistics)."
38,Christmas & holiday light installers,561730,56,"Seasonal quoting, install/takedown scheduling, storage",3,16041,2024,https://homeservicebase.com/christmas-light-business,unverified,unverified,4,1,2,2,2,6,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"No NAICS-level count exists. Home Service Base census: 16,041 companies / 11,404 websites / 17,493 Google Business Profiles across 1,907 cities (2024; +11.11% websites 2023-2024). CLIPA association cited at 8,000+ members (same result set)."
39,Stump grinding & land clearing,238910,56,"Per-stump quotes, equipment scheduling, 811 locates",3,38839,2020,https://www.insurancexdate.com/naics/238910,unverified,unverified,5,1,4,4,2,8,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Search summary for NAICS 238910 cited 2020 Census: 38,433 businesses / 38,839 establishments; a second figure of 43,539 establishments (year unverified) and First Research ~35,000 establishments / ~$100B revenue (https://www.firstresearch.com/Industry-Research/Site-Preparation-Contractors.html). Exact result page for the 38,839 figure inferred from result set (verify). Stump grinding itself is classed by IBISWorld under Tree Trimming Services (175,035 businesses 2025)."
40,Chimney sweeps & chimney repair,561790,56,"Level-2 inspection reports, seasonal routes, CSIA paperwork",3,6313,2024,https://www.ibisworld.com/united-states/market-research-reports/fireplace-services-industry/,unverified,unverified,2,0,1,2,2,5,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Fireplace Services (includes chimney sweeping): 6,313 businesses, CAGR -6.3% 2019-2024. Home Service Base census counts 8,241 chimney companies across 1,907 cities (https://homeservicebase.com/chimney-sweep-business)."
41,Residential cleaning & maid services,561720,56,"Recurring scheduling, cleaner assignment, quotes by sq ft",3,356516,2024,https://www.ibisworld.com/united-states/number-of-businesses/residential-cleaning-services/6542/,unverified,unverified,7,1,0,2,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Residential Cleaning Services (industry 6542) count; NAICS 561720 as a whole: siccode lists 28,445 companies verified as active (https://siccode.com/naics-code/561720/janitorial-services), year not shown. Share <20 employees not surfaced in any result."
42,Commercial janitorial companies,561720,56,"Bid walkthroughs, night-shift scheduling, inspection checklists",3,1264367,2026,https://www.ibisworld.com/united-states/number-of-businesses/janitorial-services/1496/,unverified,unverified,2,5,1,2,0,3,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Janitorial Services (industry 1496) count, +2.4% vs 2025, market size $112.4bn 2026 per same result set. Alternative: siccode 28,445 companies verified as active in NAICS 561720 (https://siccode.com/naics-code/561720/janitorial-services), year not shown; census profile exists at https://data.census.gov/profile/561720_-_Janitorial_services?n=561720 but figures not in snippet."
43,Carpet & upholstery cleaning,561740,56,"Room-count quoting, route scheduling, reminders",3,41611,2026,https://www.ibisworld.com/united-states/number-of-businesses/carpet-cleaning/1498/,unverified,unverified,8,0,0,2,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Carpet Cleaning (industry 1498): 41,611 in 2026 (+1.6%), 38,989 in 2024. siccode lists 13,499 companies verified as active in NAICS 561740 with est. 38,080 employees (https://siccode.com/naics-code/561740/carpet-upholstery-cleaning-services), year not shown."
44,Pest control operators,561710,56,"Recurring service routes, pesticide-use records, state reporting",3,33197,2025,https://www.ibisworld.com/united-states/number-of-businesses/pest-control/1495/,unverified,unverified,1,3,0,2,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Pest Control (industry 1495): 33,197 in 2025 (+4.5%), 34,076 in 2026. A result summary also cited 2020 Census figures of 13,498 businesses / 15,802 establishments in NAICS 561710 (result set incl. https://naicslist.com/naics/561710; exact page attribution uncertain) and siccode 18,490 companies verified as active (https://siccode.com/naics-code/561710/exterminating-pest-control-services)."
45,Wildlife removal & nuisance animal control,561710,56,"Trap-check scheduling, state permits, exclusion quotes",3,unverified,unverified,unverified,unverified,unverified,0,3,0,1,0,1,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),No wildlife-specific establishment count surfaced; NWCOA (https://www.nwcoa.com/) is the trade association and has a public operator directory (https://www.nwcoa.com/directorypublic) but no count in snippet. Falls inside NAICS 561710 (see niche 44 counts).
46,Mosquito & bird control services,561710,56,"Seasonal route programs, application logs, renewals",3,unverified,unverified,unverified,unverified,unverified,0,3,0,2,0,2,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),"No mosquito-specific establishment count surfaced. Sunair Services 10-K (FY2007) described US pest control as ~20,000 firms, highly fragmented (https://www.sec.gov/Archives/edgar/data/0000095366/000095014408000224/g11232ke10vk.htm). Falls inside NAICS 561710 (see niche 44)."
47,Junk removal,562119,56,"Volume-based quoting, truck dispatch, dump tickets",3,6046,unverified,https://siccode.com/naics-code/562119/waste-collection,unverified,unverified,0,3,0,1,0,1,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"siccode lists 6,046 companies verified as active in NAICS 562119 (est. 8,820 employees); year not shown. A result summary attributed to IBISWorld cited 8,607 companies in junk removal and waste industries and IBISWorld Waste Collection Services 20,916 businesses as of 2024 (https://www.ibisworld.com/industry-statistics/number-of-businesses/waste-collection-services-united-states); another source cited ~11,000 firms (https://homeservicebase.com/junk-removal-business, unverified page attribution)."
48,Roll-off dumpster rental,562111,56,"Container tracking, drop/pickup scheduling, tonnage billing",3,351,2025,https://www.ibisworld.com/united-states/number-of-businesses/dumpster-rental/5837/,unverified,unverified,1,3,0,1,0,1,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Dumpster Rental (industry 5837): 351 businesses as of 2025 (+3.8%), an older figure of 232 was cited in secondary sources. This IBISWorld definition appears narrow relative to NAICS 562111 (no NAICS-level establishment count surfaced)."
49,Portable toilet rental,562991,56,"Unit tracking, weekly service routes, event orders",3,3489,2025,https://www.ibisworld.com/united-states/number-of-businesses/portable-toilet-rental/4716/,unverified,unverified,1,2,0,1,0,1,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld Portable Toilet Rental (industry 4716): 3,489 in 2025 (+2.6%), 3.6%/yr growth 2020-2025. Combined Portable Toilet Rental & Septic Tank Cleaning: 5,579 (2020-2025 CAGR 3.0%) per same result; 5,586 as of 2025 per https://www.ibisworld.com/united-states/number-of-businesses/portable-toilet-rental-septic-tank-cleaning/1519."
50,Septic pumping & grease trap services,562991,56,"Pump-out scheduling, manifests, county disposal reporting",3,3274,unverified,https://siccode.com/naics-code/562991/septic-tank-services,unverified,unverified,0,3,0,1,0,1,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"siccode lists 3,274 companies verified as active in NAICS 562991 (est. 26,121 employees), year not shown. IBISWorld Septic, Drain & Sewer Cleaning Services: 7,338 businesses as of 2024 (https://www.ibisworld.com/united-states/number-of-businesses/septic-drain-sewer-cleaning-services/4710/)."
51,"Mold, asbestos & lead abatement contractors",562910,56,"Notifications to state, air-clearance reports, disposal manifests",3,5576,2020,https://siccode.com/naics-code/562910/remediation-services,unverified,unverified,8,0,0,1,0,2,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"Count is for all of NAICS 562910 (Remediation Services), not abatement alone. Same source: 4,546 businesses and 85,937 employees in 2020 (US Census via siccode.com)."
52,Water & fire damage restoration contractors,236118,23,"Xactimate estimates, moisture logs, insurance adjuster paperwork",3,60020,2026,https://www.ibisworld.com/united-states/number-of-businesses/damage-restoration-services/6278/,unverified,unverified,0,7,0,0,0,0,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),"IBISWorld 'Damage Restoration Services' count (industry 6278), market size $7.1B in 2026 (https://www.ibisworld.com/united-states/market-size/damage-restoration-services/6278/). NAICS 236118 Residential Remodelers reported at 128,187 establishments (https://eyeonhousing.org/2025/07/residential-remodelers-outnumber-single-family-builders-in-the-u-s/) but that code is far broader than restoration."
53,"Crime scene, biohazard & hoarding cleanup",562910,56,"OSHA/bloodborne compliance, disposal manifests, insurance billing",3,5576,2020,https://siccode.com/naics-code/562910/remediation-services,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),NAICS-level aggregate only (all of 562910); no niche-specific count found. unverified (not searched: session WebSearch budget exhausted after 7 calls)
54,Radon mitigation contractors,562910,56,"Test results, state certification, post-mitigation reports",3,5576,2020,https://siccode.com/naics-code/562910/remediation-services,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),searched (partial: search budget exhausted mid-batch),NAICS-level aggregate only (all of 562910); no niche-specific count found. unverified (not searched: session WebSearch budget exhausted after 7 calls)
55,Commercial kitchen exhaust hood cleaning,561790,56,"NFPA 96 frequency scheduling, before/after photos, certificates",3,unverified,unverified,unverified,unverified,unverified,0,0,0,0,0,0,unverified (ad libraries blocked),not searched (session search budget exhausted before batch started),unverified (not searched: session WebSearch budget exhausted after 7 calls)
